424,0.60,kN,10.60
425,0.60,kN,10.63
426,0.61,kN,10.65
427,0.61,kN,10.68
428,0.61,kN,10.70
429,0.62,kN,10.73
430,0.62,kN,10.75
431,0.63,kN,10.77
432,0.63,kN,10.80
433,0.63,kN,10.82
434,0.65,kN,10.85
435,0.65,kN,10.88
436,0.65,kN,10.90
437,0.66,kN,10.93
438,0.66,kN,10.95
439,0.66,kN,10.98
440,0.67,kN,11.00
441,0.67,kN,11.02
442,0.67,kN,11.05
443,0.68,kN,11.07
444,0.68,kN,11.10
445,0.68,kN,11.13
446,0.69,kN,11.15
447,0.69,kN,11.18
448,0.69,kN,11.20
449,0.69,kN,11.23
450,0.69,kN,11.25
451,0.70,kN,11.27
452,0.70,kN,11.30
453,0.70,kN,11.32
454,0.70,kN,11.35
455,0.70,kN,11.38
456,0.70,kN,11.40
457,0.70,kN,11.43
458,0.70,kN,11.45
459,0.70,kN,11.48
460,0.70,kN,11.50
461,0.70,kN,11.52
462,0.70,kN,11.55
463,0.70,kN,11.57
464,0.69,kN,11.60
465,0.69,kN,11.63
466,0.69,kN,11.65
467,0.69,kN,11.68
468,0.69,kN,11.70
469,0.69,kN,11.73
470,0.69,kN,11.75
471,0.68,kN,11.77
472,0.68,kN,11.80
473,0.68,kN,11.82
474,0.68,kN,11.85
475,0.67,kN,11.88
476,0.66,kN,11.90
477,0.66,kN,11.93
478,0.65,kN,11.95
479,0.65,kN,11.98
480,0.64,kN,12.00
481,0.63,kN,12.02
482,0.63,kN,12.05
483,0.62,kN,12.07
484,0.61,kN,12.10
485,0.60,kN,12.13
486,0.60,kN,12.15
487,0.59,kN,12.18
488,0.58,kN,12.20
489,0.57,kN,12.23
490,0.56,kN,12.25
491,0.56,kN,12.27
492,0.55,kN,12.30
493,0.54,kN,12.32
494,0.53,kN,12.35
495,0.53,kN,12.38
496,0.53,kN,12.40
497,0.52,kN,12.43
498,0.51,kN,12.45
499,0.51,kN,12.48
500,0.51,kN,12.50
501,0.50,kN,12.52
502,0.50,kN,12.55
503,0.50,kN,12.57
504,0.50,kN,12.60
505,0.50,kN,12.63
506,0.50,kN,12.65
507,0.50,kN,12.68
508,0.50,kN,12.70
509,0.50,kN,12.73
510,0.50,kN,12.75
511,0.50,kN,12.77
512,0.50,kN,12.80
513,0.51,kN,12.82
514,0.51,kN,12.85
515,0.51,kN,12.88
516,0.51,kN,12.90
517,0.52,kN,12.93
518,0.52,kN,12.95
519,0.52,kN,12.98
520,0.53,kN,13.00
521,0.53,kN,13.02
522,0.54,kN,13.05
523,0.54,kN,13.07
524,0.54,kN,13.10
525,0.55,kN,13.13
526,0.56,kN,13.15
527,0.56,kN,13.18
528,0.57,kN,13.20
529,0.57,kN,13.23
530,0.58,kN,13.25
531,0.58,kN,13.27
532,0.59,kN,13.30
533,0.59,kN,13.32
534,0.60,kN,13.35
535,0.60,kN,13.38
536,0.61,kN,13.40
537,0.61,kN,13.43
538,0.62,kN,13.45
539,0.62,kN,13.48
540,0.63,kN,13.50
541,0.63,kN,13.52
542,0.63,kN,13.55
543,0.64,kN,13.57
544,0.64,kN,13.60
545,0.64,kN,13.63
546,0.65,kN,13.65
547,0.65,kN,13.68
548,0.66,kN,13.70
549,0.66,kN,13.73
550,0.66,kN,13.75
551,0.67,kN,13.77
552,0.67,kN,13.80
553,0.67,kN,13.82
554,0.68,kN,13.85
555,0.68,kN,13.88
556,0.68,kN,13.90
557,0.68,kN,13.93
558,0.68,kN,13.95
559,0.69,kN,13.98
